time,price,emissions
0,60.54608,936.0
5,60.54608,960.0
10,60.54608,962.0
15,60.54608,959.0
20,60.54608,964.0
25,60.54608,963.0
30,60.54608,962.0
35,60.54608,963.0
40,60.54608,932.0
45,60.54608,934.0
50,60.54608,929.0
55,60.54608,933.0
60,60.39803,934.0
65,60.39803,934.0
70,60.39803,934.0
75,60.39803,935.0
80,60.39803,934.0
85,60.39803,934.0
90,60.39803,934.0
95,60.39803,934.0
100,60.39803,934.0
105,60.39803,934.0
110,60.39803,934.0
115,60.39803,934.0
120,58.88102,960.0
125,58.88102,960.0
130,58.88102,960.0
135,58.88102,960.0
140,58.88102,960.0
145,58.88102,960.0
150,58.88102,966.0
155,58.88102,966.0
160,58.88102,966.0
165,58.88102,966.0
170,58.88102,966.0
175,58.88102,968.0
180,59.28119,960.0
185,59.28119,947.0
190,59.28119,947.0
195,59.28119,948.0
200,59.28119,950.0
205,59.28119,954.0
210,59.28119,963.0
215,59.28119,963.0
220,59.28119,962.0
225,59.28119,962.0
230,59.28119,956.0
235,59.28119,956.0
240,60.67267,956.0
245,60.67267,951.0
250,60.67267,951.0
255,60.67267,945.0
260,60.67267,944.0
265,60.67267,946.0
270,60.67267,946.0
275,60.67267,946.0
280,60.67267,939.0
285,60.67267,940.0
290,60.67267,946.0
295,60.67267,946.0
300,58.96732,946.0
305,58.96732,935.0
310,58.96732,934.0
315,58.96732,942.0
320,58.96732,940.0
325,58.96732,952.0
330,58.96732,953.0
335,58.96732,960.0
340,58.96732,959.0
345,58.96732,953.0
350,58.96732,953.0
355,58.96732,959.0
360,55.82486,958.0
365,55.82486,948.0
370,55.82486,952.0
375,55.82486,952.0
380,55.82486,947.0
385,55.82486,940.0
390,55.82486,947.0
395,55.82486,944.0
400,55.82486,944.0
405,55.82486,942.0
410,55.82486,945.0
415,55.82486,945.0
420,48.50995,945.0
425,48.50995,935.0
430,48.50995,935.0
435,48.50995,936.0
440,48.50995,935.0
445,48.50995,936.0
450,48.50995,938.0
455,48.50995,937.0
460,48.50995,939.0
465,48.50995,938.0
470,48.50995,937.0
475,48.50995,932.0
480,45.06824,935.0
485,45.06824,928.0
490,45.06824,936.0
495,45.06824,937.0
500,45.06824,933.0
505,45.06824,933.0
510,45.06824,933.0
515,45.06824,929.0
520,45.06824,929.0
525,45.06824,929.0
530,45.06824,930.0
535,45.06824,933.0
540,44.45811,929.0
545,44.45811,933.0
550,44.45811,931.0
555,44.45811,931.0
560,44.45811,936.0
565,44.45811,933.0
570,44.45811,923.0
575,44.45811,920.0
580,44.45811,924.0
585,44.45811,926.0
590,44.45811,923.0
595,44.45811,924.0
600,44.96844,924.0
605,44.96844,930.0
610,44.96844,920.0
615,44.96844,918.0
620,44.96844,918.0
625,44.96844,918.0
630,44.96844,918.0
635,44.96844,918.0
640,44.96844,918.0
645,44.96844,918.0
650,44.96844,918.0
655,44.96844,916.0
660,45.0372,916.0
665,45.0372,924.0
670,45.0372,922.0
675,45.0372,922.0
680,45.0372,926.0
685,45.0372,925.0
690,45.0372,925.0
695,45.0372,925.0
700,45.0372,926.0
705,45.0372,925.0
710,45.0372,899.0
715,45.0372,905.0
720,50.48111,899.0
725,50.48111,900.0
730,50.48111,896.0
735,50.48111,897.0
740,50.48111,897.0
745,50.48111,898.0
750,50.48111,900.0
755,50.48111,900.0
760,50.48111,899.0
765,50.48111,896.0
770,50.48111,910.0
775,50.48111,910.0
780,54.54325,909.0
785,54.54325,909.0
790,54.54325,911.0
795,54.54325,913.0
800,54.54325,916.0
805,54.54325,913.0
810,54.54325,915.0
815,54.54325,916.0
820,54.54325,915.0
825,54.54325,917.0
830,54.54325,919.0
835,54.54325,930.0
840,55.32022,958.0
845,55.32022,964.0
850,55.32022,967.0
855,55.32022,972.0
860,55.32022,974.0
865,55.32022,974.0
870,55.32022,977.0
875,55.32022,977.0
880,55.32022,972.0
885,55.32022,968.0
890,55.32022,962.0
895,55.32022,958.0
900,50.03946,1015.0
905,50.03946,990.0
910,50.03946,989.0
915,50.03946,973.0
920,50.03946,958.0
925,50.03946,958.0
930,50.03946,966.0
935,50.03946,975.0
940,50.03946,985.0
945,50.03946,987.0
950,50.03946,993.0
955,50.03946,997.0
960,32.81833,990.0
965,32.81833,988.0
970,32.81833,996.0
975,32.81833,207.0
980,32.81833,953.0
985,32.81833,952.0
990,32.81833,996.0
995,32.81833,970.0
1000,32.81833,952.0
1005,32.81833,142.0
1010,32.81833,145.0
1015,32.81833,191.0
1020,21.66809,984.0
1025,21.66809,978.0
1030,21.66809,982.0
1035,21.66809,464.0
1040,21.66809,459.0
1045,21.66809,460.0
1050,21.66809,987.0
1055,21.66809,989.0
1060,21.66809,994.0
1065,21.66809,989.0
1070,21.66809,988.0
1075,21.66809,990.0
1080,23.46002,975.0
1085,23.46002,974.0
1090,23.46002,975.0
1095,23.46002,985.0
1100,23.46002,977.0
1105,23.46002,985.0
1110,23.46002,982.0
1115,23.46002,987.0
1120,23.46002,982.0
1125,23.46002,986.0
1130,23.46002,991.0
1135,23.46002,997.0
1140,19.86986,983.0
1145,19.86986,994.0
1150,19.86986,995.0
1155,19.86986,994.0
1160,19.86986,994.0
1165,19.86986,990.0
1170,19.86986,984.0
1175,19.86986,989.0
1180,19.86986,191.0
1185,19.86986,192.0
1190,19.86986,994.0
1195,19.86986,224.0
1200,18.95233,983.0
1205,18.95233,219.0
1210,18.95233,978.0
1215,18.95233,374.0
1220,18.95233,388.0
1225,18.95233,388.0
1230,18.95233,388.0
1235,18.95233,370.0
1240,18.95233,370.0
1245,18.95233,397.0
1250,18.95233,413.0
1255,18.95233,379.0
1260,17.64672,979.0
1265,17.64672,983.0
1270,17.64672,971.0
1275,17.64672,973.0
1280,17.64672,972.0
1285,17.64672,961.0
1290,17.64672,964.0
1295,17.64672,961.0
1300,17.64672,963.0
1305,17.64672,964.0
1310,17.64672,964.0
1315,17.64672,961.0
1320,23.27345,435.0
1325,23.27345,442.0
1330,23.27345,442.0
1335,23.27345,468.0
1340,23.27345,963.0
1345,23.27345,961.0
1350,23.27345,961.0
1355,23.27345,962.0
1360,23.27345,960.0
1365,23.27345,961.0
1370,23.27345,962.0
1375,23.27345,961.0
1380,42.53045,967.0
1385,42.53045,962.0
1390,42.53045,961.0
1395,42.53045,957.0
1400,42.53045,947.0
1405,42.53045,949.0
1410,42.53045,950.0
1415,42.53045,909.0
1420,42.53045,927.0
1425,42.53045,921.0
1430,42.53045,926.0
1435,42.53045,927.0
