time,price,emissions
0,42.56421,972.0
5,42.56421,969.0
10,42.56421,977.0
15,42.56421,971.0
20,42.56421,976.0
25,42.56421,968.0
30,42.56421,967.0
35,42.56421,970.0
40,42.56421,919.0
45,42.56421,933.0
50,42.56421,931.0
55,42.56421,927.0
60,42.83477,929.0
65,42.83477,929.0
70,42.83477,928.0
75,42.83477,928.0
80,42.83477,935.0
85,42.83477,920.0
90,42.83477,919.0
95,42.83477,929.0
100,42.83477,930.0
105,42.83477,930.0
110,42.83477,930.0
115,42.83477,929.0
120,42.84685,941.0
125,42.84685,940.0
130,42.84685,940.0
135,42.84685,938.0
140,42.84685,970.0
145,42.84685,969.0
150,42.84685,926.0
155,42.84685,920.0
160,42.84685,924.0
165,42.84685,919.0
170,42.84685,919.0
175,42.84685,925.0
180,42.05403,924.0
185,42.05403,913.0
190,42.05403,913.0
195,42.05403,911.0
200,42.05403,911.0
205,42.05403,916.0
210,42.05403,923.0
215,42.05403,924.0
220,42.05403,924.0
225,42.05403,914.0
230,42.05403,913.0
235,42.05403,913.0
240,42.33709,937.0
245,42.33709,934.0
250,42.33709,934.0
255,42.33709,941.0
260,42.33709,943.0
265,42.33709,941.0
270,42.33709,942.0
275,42.33709,935.0
280,42.33709,942.0
285,42.33709,942.0
290,42.33709,942.0
295,42.33709,943.0
300,41.81158,952.0
305,41.81158,952.0
310,41.81158,942.0
315,41.81158,942.0
320,41.81158,944.0
325,41.81158,945.0
330,41.81158,953.0
335,41.81158,953.0
340,41.81158,954.0
345,41.81158,954.0
350,41.81158,944.0
355,41.81158,953.0
360,39.55113,954.0
365,39.55113,946.0
370,39.55113,947.0
375,39.55113,947.0
380,39.55113,946.0
385,39.55113,946.0
390,39.55113,947.0
395,39.55113,945.0
400,39.55113,942.0
405,39.55113,942.0
410,39.55113,946.0
415,39.55113,947.0
420,36.86278,946.0
425,36.86278,941.0
430,36.86278,941.0
435,36.86278,941.0
440,36.86278,942.0
445,36.86278,942.0
450,36.86278,940.0
455,36.86278,939.0
460,36.86278,941.0
465,36.86278,942.0
470,36.86278,942.0
475,36.86278,943.0
480,36.98422,942.0
485,36.98422,945.0
490,36.98422,946.0
495,36.98422,946.0
500,36.98422,947.0
505,36.98422,946.0
510,36.98422,942.0
515,36.98422,943.0
520,36.98422,941.0
525,36.98422,941.0
530,36.98422,944.0
535,36.98422,944.0
540,36.01071,946.0
545,36.01071,947.0
550,36.01071,943.0
555,36.01071,943.0
560,36.01071,946.0
565,36.01071,946.0
570,36.01071,946.0
575,36.01071,946.0
580,36.01071,940.0
585,36.01071,940.0
590,36.01071,938.0
595,36.01071,938.0
600,35.62944,939.0
605,35.62944,918.0
610,35.62944,922.0
615,35.62944,921.0
620,35.62944,922.0
625,35.62944,920.0
630,35.62944,922.0
635,35.62944,922.0
640,35.62944,922.0
645,35.62944,922.0
650,35.62944,922.0
655,35.62944,922.0
